Date,Item Code,Description,Volume ,Value
2/23/2020,100105,C,5300,8/4/1935
2/24/2020,100102,D,5400,4/30/1938
2/25/2020,100108,E,5500,1/24/1941
2/26/2020,100108,F,5600,
2/27/2020,100103,G,5700,7/17/1946
2/28/2020,100108,H,5800,4/12/1949
2/29/2020,100101,I,5900,1/7/1952
3/1/2020,100109,J,6000,10/3/1954
3/2/2020,100105,A,6100,6/29/1957
3/3/2020,100105,B,6200,3/25/1960
3/4/2020,100100,C,6300,12/20/1962
3/5/2020,100110,D,6400,9/15/1965
3/6/2020,100103,E,6500,6/11/1968
3/7/2020,100109,F,6600,3/8/1971
3/8/2020,100100,G,6700,12/2/1973
3/9/2020,100106,H,6800,8/28/1976
3/10/2020,100108,I,6900,5/25/1979
3/11/2020,100103,J,7000,2/18/1982
3/12/2020,100107,A,7100,11/14/1984
3/13/2020,100108,B,7200,8/11/1987
3/14/2020,100106,C,7300,5/7/1990
3/15/2020,100105,D,7400,1/31/1993
3/16/2020,100104,E,7500,10/28/1995
3/17/2020,100104,F,7600,7/24/1998
3/18/2020,100100,G,7700,4/19/2001
3/19/2020,100109,H,7800,1/14/2004
3/20/2020,100102,I,7900,10/10/2006
3/21/2020,100102,J,8000,7/6/2009
3/22/2020,100110,A,8100,4/1/2012
3/23/2020,100107,B,8200,12/27/2014
3/24/2020,100100,C,8300,9/22/2017
3/25/2020,100101,D,8400,6/18/2020
3/26/2020,100110,E,8500,3/15/2023
3/27/2020,100104,F,8600,12/9/2025
3/28/2020,100106,G,8700,9/4/2028
3/29/2020,100107,H,8800,6/1/2031
3/30/2020,100106,I,8900,2/25/2034
3/31/2020,100109,J,9000,11/21/2036
4/1/2020,100105,A,9100,8/18/2039
4/2/2020,100110,B,9200,5/14/2042
4/3/2020,100106,C,9300,2/7/2045
4/4/2020,100108,D,9400,11/4/2047
4/5/2020,100110,E,9500,7/31/2050
4/6/2020,100100,F,9600,4/26/2053
4/7/2020,100102,G,9700,1/21/2056
4/8/2020,100106,H,9800,10/17/2058
4/9/2020,100102,I,9900,7/13/2061
4/10/2020,100106,J,10000,4/8/2064
4/11/2020,100110,A,10100,1/3/2067
4/12/2020,100103,B,10200,9/29/2069
4/13/2020,100106,C,10300,6/25/2072
4/14/2020,100102,D,10400,3/22/2075
4/15/2020,100100,E,10500,12/16/2077
4/16/2020,100102,F,10600,9/11/2080
4/17/2020,100107,G,10700,6/8/2083
4/18/2020,100105,H,10800,3/4/2086
4/19/2020,100104,I,10900,11/28/2088
4/20/2020,100107,J,11000,8/25/2091
4/21/2020,100102,A,11100,5/21/2094
4/22/2020,100104,B,11200,2/14/2097
4/23/2020,100104,C,11300,11/11/2099
4/24/2020,100100,D,11400,8/8/2102
4/25/2020,100108,E,11500,5/4/2105
4/26/2020,100109,F,11600,1/29/2108
4/27/2020,100105,G,11700,10/25/2110
4/28/2020,100105,H,11800,7/21/2113
4/29/2020,100109,I,11900,4/16/2116
4/30/2020,100105,J,12000,1/11/2119
5/1/2020,100103,A,12100,10/7/2121
5/2/2020,100107,B,12200,7/3/2124
5/3/2020,100109,C,12300,3/30/2127
5/4/2020,100106,D,12400,12/24/2129
5/5/2020,100104,E,12500,9/19/2132
5/6/2020,100108,F,12600,6/16/2135
5/7/2020,100109,G,12700,3/12/2138
5/8/2020,100101,H,12800,12/6/2140
5/9/2020,100109,I,12900,9/2/2143
5/10/2020,100104,J,13000,5/29/2146
5/11/2020,100104,A,13100,2/22/2149
5/12/2020,100103,B,13200,11/19/2151
5/13/2020,100106,C,13300,8/15/2154
5/14/2020,100108,D,13400,5/11/2157
5/15/2020,100110,E,13500,2/5/2160
5/16/2020,100100,F,13600,11/1/2162
5/17/2020,100106,G,13700,7/28/2165
5/18/2020,100105,H,13800,4/23/2168
5/19/2020,100103,I,13900,1/18/2171
5/20/2020,100105,J,14000,10/14/2173
5/21/2020,100103,A,14100,7/10/2176
5/22/2020,100103,B,14200,4/6/2179
5/23/2020,100110,C,14300,12/31/2181
5/24/2020,100104,D,14400,9/26/2184
5/25/2020,100108,E,14500,6/23/2187
5/26/2020,100100,F,14600,3/19/2190
5/27/2020,100102,G,14700,12/13/2192
5/28/2020,100109,H,14800,9/9/2195
5/29/2020,100103,I,14900,6/5/2198
