Date,Item Code,Description,Volume ,Value,UOM
4/23/2020,100104,C,11300,73000,KG
4/24/2020,100100,D,11400,74000,KG
4/25/2020,100108,E,11500,75000,KG
4/26/2020,100109,F,11600,76000,KG
4/27/2020,100105,G,11700,77000,KG
4/28/2020,100105,H,11800,78000,KG
4/29/2020,100109,I,11900,79000,KG
4/30/2020,100105,J,12000,80000,KG
5/1/2020,100103,A,12100,81000,KG
5/2/2020,100107,B,12200,82000,KG
5/3/2020,100109,C,12300,83000,KG
5/4/2020,100106,D,12400,84000,KG
5/5/2020,100104,E,12500,85000,KG
5/6/2020,100108,F,12600,86000,KG
5/7/2020,100109,G,12700,87000,KG
5/8/2020,100101,H,12800,88000,KG
5/9/2020,100109,I,12900,89000,KG
5/10/2020,100104,J,13000,90000,KG
5/11/2020,100104,A,13100,91000,KG
5/12/2020,100103,B,13200,92000,KG
5/13/2020,100106,C,13300,93000,KG
5/14/2020,100108,D,13400,94000,KG
5/15/2020,100110,E,13500,95000,KG
5/16/2020,100100,F,13600,96000,KG
5/17/2020,100106,G,13700,97000,KG
5/18/2020,100105,H,13800,98000,KG
5/19/2020,100103,I,13900,99000,KG
5/20/2020,100105,J,14000,100000,KG
5/21/2020,100103,A,14100,101000,KG
5/22/2020,100103,B,14200,102000,KG
5/23/2020,100110,C,14300,103000,KG
5/24/2020,100104,D,14400,104000,KG
5/25/2020,100108,E,14500,105000,KG
5/26/2020,100100,F,14600,106000,KG
5/27/2020,100102,G,14700,107000,KG
5/28/2020,100109,H,14800,108000,KG
5/29/2020,100103,I,14900,109000,KG
