"Point","lat","lon","lat.1","lon.1","Location","des","latlon.x","latlon.y"
"6",6.87491989135742,79.8610763549805,6.87547969818115,79.8609161376953,64,65,"6.87491989135742+79.8610763549805","6.87547969818115+79.8609161376953"
"6",6.87547969818115,79.8609161376953,6.87579965591431,79.8608093261719,65,66,"6.87547969818115+79.8609161376953","6.87579965591431+79.8608093261719"
"6",6.87579965591431,79.8608093261719,6.87666988372803,79.8605651855469,66,67,"6.87579965591431+79.8608093261719","6.87666988372803+79.8605651855469"
"6",6.87666988372803,79.8605651855469,6.87720966339111,79.8603973388672,67,68,"6.87666988372803+79.8605651855469","6.87720966339111+79.8603973388672"
"6",6.87720966339111,79.8603973388672,6.87822961807251,79.8601455688477,68,69,"6.87720966339111+79.8603973388672","6.87822961807251+79.8601455688477"
"6",6.87822961807251,79.8601455688477,6.87825965881348,79.8601379394531,69,70,"6.87822961807251+79.8601455688477","6.87825965881348+79.8601379394531"
"6",6.87825965881348,79.8601379394531,6.87828969955444,79.8602066040039,70,71,"6.87825965881348+79.8601379394531","6.87828969955444+79.8602066040039"
"6",6.87828969955444,79.8602066040039,6.87788963317871,79.8603515625,71,72,"6.87828969955444+79.8602066040039","6.87788963317871+79.8603515625"
"6",6.87788963317871,79.8603515625,6.87791967391968,79.8605575561523,72,73,"6.87788963317871+79.8603515625","6.87791967391968+79.8605575561523"
"6",6.87791967391968,79.8605575561523,6.87802982330322,79.8618698120117,73,74,"6.87791967391968+79.8605575561523","6.87802982330322+79.8618698120117"
"6",6.87802982330322,79.8618698120117,6.87808990478516,79.8623275756836,74,75,"6.87802982330322+79.8618698120117","6.87808990478516+79.8623275756836"
"6",6.87808990478516,79.8623275756836,6.87815999984741,79.8627471923828,75,76,"6.87808990478516+79.8623275756836","6.87815999984741+79.8627471923828"
"6",6.87815999984741,79.8627471923828,6.87820959091187,79.86328125,76,77,"6.87815999984741+79.8627471923828","6.87820959091187+79.86328125"
"6",6.87820959091187,79.86328125,6.87828969955444,79.8637466430664,77,78,"6.87820959091187+79.86328125","6.87828969955444+79.8637466430664"
"6",6.87828969955444,79.8637466430664,6.87834978103638,79.8642044067383,78,79,"6.87828969955444+79.8637466430664","6.87834978103638+79.8642044067383"
"6",6.87834978103638,79.8642044067383,6.87852001190186,79.8655395507812,79,80,"6.87834978103638+79.8642044067383","6.87852001190186+79.8655395507812"
"6",6.87852001190186,79.8655395507812,6.87825965881348,79.8656463623047,80,81,"6.87852001190186+79.8655395507812","6.87825965881348+79.8656463623047"
"6",6.87825965881348,79.8656463623047,6.87800979614258,79.8657302856445,81,82,"6.87825965881348+79.8656463623047","6.87800979614258+79.8657302856445"
"6",6.87800979614258,79.8657302856445,6.87741994857788,79.8658599853516,82,83,"6.87800979614258+79.8657302856445","6.87741994857788+79.8658599853516"
"6",6.87741994857788,79.8658599853516,6.87664985656738,79.8659591674805,83,84,"6.87741994857788+79.8658599853516","6.87664985656738+79.8659591674805"
"6",6.87664985656738,79.8659591674805,6.87657976150513,79.865966796875,84,85,"6.87664985656738+79.8659591674805","6.87657976150513+79.865966796875"
"6",6.87657976150513,79.865966796875,6.8765697479248,79.8657684326172,85,86,"6.87657976150513+79.865966796875","6.8765697479248+79.8657684326172"
"6",6.8765697479248,79.8657684326172,6.87655973434448,79.8655090332031,86,87,"6.8765697479248+79.8657684326172","6.87655973434448+79.8655090332031"
"6",6.87655973434448,79.8655090332031,6.87651968002319,79.8653182983398,87,88,"6.87655973434448+79.8655090332031","6.87651968002319+79.8653182983398"
"6",6.87651968002319,79.8653182983398,6.8764796257019,79.8651504516602,88,89,"6.87651968002319+79.8653182983398","6.8764796257019+79.8651504516602"
"6",6.8764796257019,79.8651504516602,6.87639999389648,79.8648147583008,89,90,"6.8764796257019+79.8651504516602","6.87639999389648+79.8648147583008"
"6",6.87639999389648,79.8648147583008,6.87604999542236,79.8648681640625,90,91,"6.87639999389648+79.8648147583008","6.87604999542236+79.8648681640625"
"6",6.87604999542236,79.8648681640625,6.87596988677979,79.8648910522461,91,92,"6.87604999542236+79.8648681640625","6.87596988677979+79.8648910522461"
"6",6.87596988677979,79.8648910522461,6.87594985961914,79.8648986816406,92,93,"6.87596988677979+79.8648910522461","6.87594985961914+79.8648986816406"
"6",6.87594985961914,79.8648986816406,6.8759298324585,79.8649673461914,93,94,"6.87594985961914+79.8648986816406","6.8759298324585+79.8649673461914"
"6",6.8759298324585,79.8649673461914,6.87594985961914,79.865104675293,94,95,"6.8759298324585+79.8649673461914","6.87594985961914+79.865104675293"
"6",6.87594985961914,79.865104675293,6.87594985961914,79.865104675293,95,96,"6.87594985961914+79.865104675293","6.87594985961914+79.865104675293"
"7",6.87594985961914,79.865104675293,6.8759298324585,79.8649215698242,96,97,"6.87594985961914+79.865104675293","6.8759298324585+79.8649215698242"
"7",6.8759298324585,79.8649215698242,6.87598991394043,79.864875793457,97,98,"6.8759298324585+79.8649215698242","6.87598991394043+79.864875793457"
"7",6.87598991394043,79.864875793457,6.87639999389648,79.8648147583008,98,99,"6.87598991394043+79.864875793457","6.87639999389648+79.8648147583008"
"7",6.87639999389648,79.8648147583008,6.87613964080811,79.8636856079102,99,100,"6.87639999389648+79.8648147583008","6.87613964080811+79.8636856079102"
"7",6.87613964080811,79.8636856079102,6.87593984603882,79.862907409668,100,101,"6.87613964080811+79.8636856079102","6.87593984603882+79.862907409668"
"7",6.87593984603882,79.862907409668,6.8754997253418,79.8610076904297,101,102,"6.87593984603882+79.862907409668","6.8754997253418+79.8610076904297"
"7",6.8754997253418,79.8610076904297,6.87476968765259,79.8612060546875,102,103,"6.8754997253418+79.8610076904297","6.87476968765259+79.8612060546875"
"7",6.87476968765259,79.8612060546875,6.8743896484375,79.8613357543945,103,104,"6.87476968765259+79.8612060546875","6.8743896484375+79.8613357543945"
"7",6.8743896484375,79.8613357543945,6.87364959716797,79.8615875244141,104,105,"6.8743896484375+79.8613357543945","6.87364959716797+79.8615875244141"
"7",6.87364959716797,79.8615875244141,6.87294006347656,79.8617172241211,105,106,"6.87364959716797+79.8615875244141","6.87294006347656+79.8617172241211"
"7",6.87294006347656,79.8617172241211,6.87235975265503,79.8618087768555,106,107,"6.87294006347656+79.8617172241211","6.87235975265503+79.8618087768555"
"7",6.87235975265503,79.8618087768555,6.8713698387146,79.8619995117188,107,108,"6.87235975265503+79.8618087768555","6.8713698387146+79.8619995117188"
"7",6.8713698387146,79.8619995117188,6.87105989456177,79.862060546875,108,109,"6.8713698387146+79.8619995117188","6.87105989456177+79.862060546875"
"7",6.87105989456177,79.862060546875,6.87110996246338,79.8623352050781,109,110,"6.87105989456177+79.862060546875","6.87110996246338+79.8623352050781"
"7",6.87110996246338,79.8623352050781,6.87128973007202,79.86328125,110,111,"6.87110996246338+79.8623352050781","6.87128973007202+79.86328125"
"7",6.87128973007202,79.86328125,6.87137985229492,79.863639831543,111,112,"6.87128973007202+79.86328125","6.87137985229492+79.863639831543"
"7",6.87137985229492,79.863639831543,6.87138986587524,79.8637084960938,112,113,"6.87137985229492+79.863639831543","6.87138986587524+79.8637084960938"
"7",6.87138986587524,79.8637084960938,6.87159967422485,79.863655090332,113,114,"6.87138986587524+79.8637084960938","6.87159967422485+79.863655090332"
"7",6.87159967422485,79.863655090332,6.87171983718872,79.8636474609375,114,115,"6.87159967422485+79.863655090332","6.87171983718872+79.8636474609375"
"7",6.87171983718872,79.8636474609375,6.87176990509033,79.863639831543,115,116,"6.87171983718872+79.8636474609375","6.87176990509033+79.863639831543"
"7",6.87176990509033,79.863639831543,6.8717999458313,79.863655090332,116,117,"6.87176990509033+79.863639831543","6.8717999458313+79.863655090332"
"7",6.8717999458313,79.863655090332,6.87181997299194,79.8637084960938,117,118,"6.8717999458313+79.863655090332","6.87181997299194+79.8637084960938"
"7",6.87181997299194,79.8637084960938,6.87181997299194,79.8637084960938,118,119,"6.87181997299194+79.8637084960938","6.87181997299194+79.8637084960938"
"8",6.87181997299194,79.8637084960938,6.87177991867065,79.8636474609375,119,120,"6.87181997299194+79.8637084960938","6.87177991867065+79.8636474609375"
"8",6.87177991867065,79.8636474609375,6.87169981002808,79.8636474609375,120,121,"6.87177991867065+79.8636474609375","6.87169981002808+79.8636474609375"
"8",6.87169981002808,79.8636474609375,6.87138986587524,79.8637084960938,121,122,"6.87169981002808+79.8636474609375","6.87138986587524+79.8637084960938"
"8",6.87138986587524,79.8637084960938,6.8714599609375,79.8641052246094,122,123,"6.87138986587524+79.8637084960938","6.8714599609375+79.8641052246094"
"8",6.8714599609375,79.8641052246094,6.87149000167847,79.8643188476562,123,124,"6.8714599609375+79.8641052246094","6.87149000167847+79.8643188476562"
"8",6.87149000167847,79.8643188476562,6.87163972854614,79.8648910522461,124,125,"6.87149000167847+79.8643188476562","6.87163972854614+79.8648910522461"
"8",6.87163972854614,79.8648910522461,6.87186002731323,79.8657684326172,125,126,"6.87163972854614+79.8648910522461","6.87186002731323+79.8657684326172"
"8",6.87186002731323,79.8657684326172,6.87202978134155,79.8664474487305,126,127,"6.87186002731323+79.8657684326172","6.87202978134155+79.8664474487305"
"8",6.87202978134155,79.8664474487305,6.87263965606689,79.8663864135742,127,128,"6.87202978134155+79.8664474487305","6.87263965606689+79.8663864135742"
"8",6.87263965606689,79.8663864135742,6.87310981750488,79.8663711547852,128,129,"6.87263965606689+79.8663864135742","6.87310981750488+79.8663711547852"
"8",6.87310981750488,79.8663711547852,6.87368965148926,79.8662261962891,129,130,"6.87310981750488+79.8663711547852","6.87368965148926+79.8662261962891"
"8",6.87368965148926,79.8662261962891,6.87381982803345,79.8661651611328,130,131,"6.87368965148926+79.8662261962891","6.87381982803345+79.8661651611328"
"8",6.87381982803345,79.8661651611328,6.87373971939087,79.8659515380859,131,132,"6.87381982803345+79.8661651611328","6.87373971939087+79.8659515380859"
"8",6.87373971939087,79.8659515380859,6.87352991104126,79.8653411865234,132,133,"6.87373971939087+79.8659515380859","6.87352991104126+79.8653411865234"
"8",6.87352991104126,79.8653411865234,6.87352991104126,79.8653411865234,133,134,"6.87352991104126+79.8653411865234","6.87352991104126+79.8653411865234"
"9",6.87352991104126,79.8653411865234,6.87373971939087,79.8659515380859,134,135,"6.87352991104126+79.8653411865234","6.87373971939087+79.8659515380859"
"9",6.87373971939087,79.8659515380859,6.87381982803345,79.8661651611328,135,136,"6.87373971939087+79.8659515380859","6.87381982803345+79.8661651611328"
"9",6.87381982803345,79.8661651611328,6.87395000457764,79.8661270141602,136,137,"6.87381982803345+79.8661651611328","6.87395000457764+79.8661270141602"
"9",6.87395000457764,79.8661270141602,6.87427997589111,79.8660507202148,137,138,"6.87395000457764+79.8661270141602","6.87427997589111+79.8660507202148"
"9",6.87427997589111,79.8660507202148,6.8746600151062,79.8659591674805,138,139,"6.87427997589111+79.8660507202148","6.8746600151062+79.8659591674805"
"9",6.8746600151062,79.8659591674805,6.87484979629517,79.8659057617188,139,140,"6.8746600151062+79.8659591674805","6.87484979629517+79.8659057617188"
"9",6.87484979629517,79.8659057617188,6.87463998794556,79.8652267456055,140,141,"6.87484979629517+79.8659057617188","6.87463998794556+79.8652267456055"
"9",6.87463998794556,79.8652267456055,6.87435960769653,79.8642044067383,141,142,"6.87463998794556+79.8652267456055","6.87435960769653+79.8642044067383"
"9",6.87435960769653,79.8642044067383,6.87403964996338,79.8628311157227,142,143,"6.87435960769653+79.8642044067383","6.87403964996338+79.8628311157227"
"9",6.87403964996338,79.8628311157227,6.87403964996338,79.8628311157227,143,144,"6.87403964996338+79.8628311157227","6.87403964996338+79.8628311157227"
"10",6.87403964996338,79.8628311157227,6.87389993667603,79.8620910644531,144,145,"6.87403964996338+79.8628311157227","6.87389993667603+79.8620910644531"
"10",6.87389993667603,79.8620910644531,6.87378978729248,79.8615264892578,145,146,"6.87389993667603+79.8620910644531","6.87378978729248+79.8615264892578"
"10",6.87378978729248,79.8615264892578,6.87364959716797,79.8615875244141,146,147,"6.87378978729248+79.8615264892578","6.87364959716797+79.8615875244141"
"10",6.87364959716797,79.8615875244141,6.87327003479004,79.8616561889648,147,148,"6.87364959716797+79.8615875244141","6.87327003479004+79.8616561889648"
"10",6.87327003479004,79.8616561889648,6.87326002120972,79.8615875244141,148,149,"6.87327003479004+79.8616561889648","6.87326002120972+79.8615875244141"
"10",6.87326002120972,79.8615875244141,6.87369966506958,79.8614883422852,149,150,"6.87326002120972+79.8615875244141","6.87369966506958+79.8614883422852"
"10",6.87369966506958,79.8614883422852,6.87473964691162,79.8611297607422,150,151,"6.87369966506958+79.8614883422852","6.87473964691162+79.8611297607422"
"10",6.87473964691162,79.8611297607422,6.87579965591431,79.8608093261719,151,152,"6.87473964691162+79.8611297607422","6.87579965591431+79.8608093261719"
"10",6.87579965591431,79.8608093261719,6.87666988372803,79.8605651855469,152,153,"6.87579965591431+79.8608093261719","6.87666988372803+79.8605651855469"
"10",6.87666988372803,79.8605651855469,6.87720966339111,79.8603973388672,153,154,"6.87666988372803+79.8605651855469","6.87720966339111+79.8603973388672"
"10",6.87720966339111,79.8603973388672,6.87822961807251,79.8601455688477,154,155,"6.87720966339111+79.8603973388672","6.87822961807251+79.8601455688477"
"10",6.87822961807251,79.8601455688477,6.87896966934204,79.8599395751953,155,156,"6.87822961807251+79.8601455688477","6.87896966934204+79.8599395751953"
"10",6.87896966934204,79.8599395751953,6.8790397644043,79.8599166870117,156,157,"6.87896966934204+79.8599395751953","6.8790397644043+79.8599166870117"
"10",6.8790397644043,79.8599166870117,6.87875986099243,79.8589248657227,157,158,"6.8790397644043+79.8599166870117","6.87875986099243+79.8589248657227"
"10",6.87875986099243,79.8589248657227,6.87858963012695,79.8583068847656,158,159,"6.87875986099243+79.8589248657227","6.87858963012695+79.8583068847656"
"10",6.87858963012695,79.8583068847656,6.87849998474121,79.8580169677734,159,160,"6.87858963012695+79.8583068847656","6.87849998474121+79.8580169677734"
"10",6.87849998474121,79.8580169677734,6.87834978103638,79.8574752807617,160,161,"6.87849998474121+79.8580169677734","6.87834978103638+79.8574752807617"
"10",6.87834978103638,79.8574752807617,6.87819004058838,79.8568649291992,161,162,"6.87834978103638+79.8574752807617","6.87819004058838+79.8568649291992"
"10",6.87819004058838,79.8568649291992,6.87813997268677,79.8568801879883,162,163,"6.87819004058838+79.8568649291992","6.87813997268677+79.8568801879883"
"10",6.87813997268677,79.8568801879883,6.87730979919434,79.857048034668,163,164,"6.87813997268677+79.8568801879883","6.87730979919434+79.857048034668"
"10",6.87730979919434,79.857048034668,6.87709999084473,79.8571014404297,164,165,"6.87730979919434+79.857048034668","6.87709999084473+79.8571014404297"
"10",6.87709999084473,79.8571014404297,6.87584972381592,79.8574295043945,165,166,"6.87709999084473+79.8571014404297","6.87584972381592+79.8574295043945"
"10",6.87584972381592,79.8574295043945,6.87607002258301,79.8582305908203,166,167,"6.87584972381592+79.8574295043945","6.87607002258301+79.8582305908203"
"10",6.87607002258301,79.8582305908203,6.87620973587036,79.8581848144531,167,168,"6.87607002258301+79.8582305908203","6.87620973587036+79.8581848144531"
"10",6.87620973587036,79.8581848144531,6.87620973587036,79.8581848144531,168,169,"6.87620973587036+79.8581848144531","6.87620973587036+79.8581848144531"
"11",6.87620973587036,79.8581848144531,6.87607002258301,79.8582305908203,169,170,"6.87620973587036+79.8581848144531","6.87607002258301+79.8582305908203"
"11",6.87607002258301,79.8582305908203,6.87611961364746,79.8584213256836,170,171,"6.87607002258301+79.8582305908203","6.87611961364746+79.8584213256836"
"11",6.87611961364746,79.8584213256836,6.87621974945068,79.8587951660156,171,172,"6.87611961364746+79.8584213256836","6.87621974945068+79.8587951660156"
"11",6.87621974945068,79.8587951660156,6.87666988372803,79.8605651855469,172,173,"6.87621974945068+79.8587951660156","6.87666988372803+79.8605651855469"
"11",6.87666988372803,79.8605651855469,6.87720966339111,79.8603973388672,173,174,"6.87666988372803+79.8605651855469","6.87720966339111+79.8603973388672"
"11",6.87720966339111,79.8603973388672,6.87822961807251,79.8601455688477,174,175,"6.87720966339111+79.8603973388672","6.87822961807251+79.8601455688477"
"11",6.87822961807251,79.8601455688477,6.87896966934204,79.8599395751953,175,176,"6.87822961807251+79.8601455688477","6.87896966934204+79.8599395751953"
"11",6.87896966934204,79.8599395751953,6.8790397644043,79.8599166870117,176,177,"6.87896966934204+79.8599395751953","6.8790397644043+79.8599166870117"
"11",6.8790397644043,79.8599166870117,6.87875986099243,79.8589248657227,177,178,"6.8790397644043+79.8599166870117","6.87875986099243+79.8589248657227"
"11",6.87875986099243,79.8589248657227,6.87858963012695,79.8583068847656,178,179,"6.87875986099243+79.8589248657227","6.87858963012695+79.8583068847656"
"11",6.87858963012695,79.8583068847656,6.87849998474121,79.8580169677734,179,180,"6.87858963012695+79.8583068847656","6.87849998474121+79.8580169677734"
"11",6.87849998474121,79.8580169677734,6.8783597946167,79.8574981689453,180,181,"6.87849998474121+79.8580169677734","6.8783597946167+79.8574981689453"
"11",6.8783597946167,79.8574981689453,6.87834978103638,79.8574752807617,181,182,"6.8783597946167+79.8574981689453","6.87834978103638+79.8574752807617"
"12",6.87834978103638,79.8574752807617,6.87819004058838,79.8568649291992,182,183,"6.87834978103638+79.8574752807617","6.87819004058838+79.8568649291992"
"12",6.87819004058838,79.8568649291992,6.87813997268677,79.8568801879883,183,184,"6.87819004058838+79.8568649291992","6.87813997268677+79.8568801879883"
"12",6.87813997268677,79.8568801879883,6.87730979919434,79.857048034668,184,185,"6.87813997268677+79.8568801879883","6.87730979919434+79.857048034668"
"12",6.87730979919434,79.857048034668,6.87709999084473,79.8571014404297,185,186,"6.87730979919434+79.857048034668","6.87709999084473+79.8571014404297"
"12",6.87709999084473,79.8571014404297,6.87701988220215,79.8571243286133,186,187,"6.87709999084473+79.8571014404297","6.87701988220215+79.8571243286133"
"12",6.87701988220215,79.8571243286133,6.8771595954895,79.8577346801758,187,188,"6.87701988220215+79.8571243286133","6.8771595954895+79.8577346801758"
"12",6.8771595954895,79.8577346801758,6.87720966339111,79.8579483032227,188,189,"6.8771595954895+79.8577346801758","6.87720966339111+79.8579483032227"
"12",6.87720966339111,79.8579483032227,6.87730979919434,79.8583374023438,189,190,"6.87720966339111+79.8579483032227","6.87730979919434+79.8583374023438"
"12",6.87730979919434,79.8583374023438,6.87743997573853,79.8588256835938,190,191,"6.87730979919434+79.8583374023438","6.87743997573853+79.8588256835938"
"12",6.87743997573853,79.8588256835938,6.87752962112427,79.8591003417969,191,192,"6.87743997573853+79.8588256835938","6.87752962112427+79.8591003417969"
